name,video_id,label,method
Celeb-real/id0_0000.mp4,celebdf_real_id0_0000,0,real
Celeb-real/id0_0001.mp4,celebdf_real_id0_0001,0,real
Celeb-real/id0_0002.mp4,celebdf_real_id0_0002,0,real
Celeb-real/id0_0003.mp4,celebdf_real_id0_0003,0,real
Celeb-real/id0_0004.mp4,celebdf_real_id0_0004,0,real
Celeb-real/id0_0005.mp4,celebdf_real_id0_0005,0,real
Celeb-real/id0_0006.mp4,celebdf_real_id0_0006,0,real
Celeb-real/id0_0007.mp4,celebdf_real_id0_0007,0,real
Celeb-real/id0_0008.mp4,celebdf_real_id0_0008,0,real
Celeb-real/id0_0009.mp4,celebdf_real_id0_0009,0,real
Celeb-real/id10_0000.mp4,celebdf_real_id10_0000,0,real
Celeb-real/id10_0001.mp4,celebdf_real_id10_0001,0,real
Celeb-real/id10_0002.mp4,celebdf_real_id10_0002,0,real
Celeb-real/id10_0003.mp4,celebdf_real_id10_0003,0,real
Celeb-real/id10_0004.mp4,celebdf_real_id10_0004,0,real
Celeb-real/id10_0005.mp4,celebdf_real_id10_0005,0,real
Celeb-real/id10_0006.mp4,celebdf_real_id10_0006,0,real
Celeb-real/id10_0007.mp4,celebdf_real_id10_0007,0,real
Celeb-real/id10_0008.mp4,celebdf_real_id10_0008,0,real
Celeb-real/id10_0009.mp4,celebdf_real_id10_0009,0,real
Celeb-real/id11_0000.mp4,celebdf_real_id11_0000,0,real
Celeb-real/id11_0001.mp4,celebdf_real_id11_0001,0,real
Celeb-real/id11_0002.mp4,celebdf_real_id11_0002,0,real
Celeb-real/id11_0003.mp4,celebdf_real_id11_0003,0,real
Celeb-real/id11_0004.mp4,celebdf_real_id11_0004,0,real
Celeb-real/id11_0005.mp4,celebdf_real_id11_0005,0,real
Celeb-real/id11_0006.mp4,celebdf_real_id11_0006,0,real
Celeb-real/id11_0007.mp4,celebdf_real_id11_0007,0,real
Celeb-real/id11_0008.mp4,celebdf_real_id11_0008,0,real
Celeb-real/id11_0009.mp4,celebdf_real_id11_0009,0,real
Celeb-real/id11_0010.mp4,celebdf_real_id11_0010,0,real
Celeb-real/id12_0000.mp4,celebdf_real_id12_0000,0,real
Celeb-real/id12_0001.mp4,celebdf_real_id12_0001,0,real
Celeb-real/id12_0002.mp4,celebdf_real_id12_0002,0,real
Celeb-real/id12_0003.mp4,celebdf_real_id12_0003,0,real
Celeb-real/id12_0004.mp4,celebdf_real_id12_0004,0,real
Celeb-real/id12_0005.mp4,celebdf_real_id12_0005,0,real
Celeb-real/id12_0006.mp4,celebdf_real_id12_0006,0,real
